Address,Style,Status,TFA SF,TBeds,TBaths,List Price,Sold Price,Sold Date,YrBlt,DOM,Lot Sq Metres,Postal Code,Estimated Value,Estimated Value 90,City,Province
15003 132 Street,SPLT4,T,"1,348.51",3,1,"$369,800 ",,,1999,50,466,,,,Edmonton,AB
8739 92B Avenue,BUNG,T,"1,005.79",4,2,"$369,900 ",,,1953,73,511.39,,,,Edmonton,AB
4508 164 Avenue,BUNG,X,"1,034.42",4,2,"$374,900 ",,,2006,127,,,,,Edmonton,AB
3643 111 Avenue,BUNG,T,"1,061.33",4,2,"$375,000 ",,,1962,70,568.19,,,,Edmonton,AB
2108 32 Street,ST2,T,"1,185.12",3,2.1,"$375,000 ",,,2009,43,307.74,,,,Edmonton,AB
3107 PAISLEY Road,ST2,X,"1,214.29",3,2.1,"$379,000 ",,,2015,92,246,,,,Edmonton,AB
10863 74 Street NW,BUNG,X,814.83,2,2,"$379,000 ",,,1929,104,715.16,,,,Edmonton,AB
16110 10 Avenue,ST2,X,"1,321.28",2,2.1,"$384,900 ",,,2013,83,314.4,,,,Edmonton,AB
18903 73Ave,SPLT4,T,"1,019.78",4,2,"$384,900 ",,,1986,34,,,,,Edmonton,AB
11151 67 Street,BUNG,X,"1,013.00",2,2,"$385,000 ",,,1930,99,,,,,Edmonton,AB
1530 MCMILLIAN PLACE Place,ST2,T,"1,295.66",4,2.1,"$385,000 ",,,2006,29,329.96,,,,Edmonton,AB
260 KNOTTWOOD Road N,BUNG,X,"1,206.00",5,1.1,"$388,000 ",,,1975,62,566.93,,,,Edmonton,AB
15519 45 Street,ST2,X,"1,363.37",3,1.1,"$388,710 ",,,2004,61,325.55,,,,Edmonton,AB
7508 95 Avenue,BUNG,X,"1,140.98",5,2,"$389,900 ",,,1955,61,653.41,,,,Edmonton,AB
12721 116 Street,ST2,T,"1,233.98",3,1.1,"$389,900 ",,,2022,71,424.4,,,,Edmonton,AB
8912 68 Street,BUNG,T,"1,153.90",5,2,"$389,900 ",,,1964,40,,,,,Edmonton,AB
10315 31 Street,BUNGH,T,"1,154.33",3,2,"$389,900 ",,,1973,91,655.85,,,,Edmonton,AB
12928 90 Street,BUNG,T,"1,102.45",5,2,"$392,000 ",,,1959,84,551.09,,,,Edmonton,AB
4723 132 Avenue NW,BUNG,T,"1,119.99",5,2.1,"$392,400 ",,,1976,79,677.32,,,,Edmonton,AB
20023 131 Avenue,ST2,T,"1,416.43",2,2.1,"$398,900 ",,,2011,23,300.9,,,,Edmonton,AB
11816 131 Avenue,BUNG,T,"1,059.93",4,2,"$399,000 ",,,1960,22,559.7,,,,Edmonton,AB
12463 47 Street,ST2,T,"1,378.87",3,2.1,"$399,000 ",,,2023,62,,,,,Edmonton,AB
8718 77 Avenue,BUNGR,T,"1,036.57",2,2,"$399,900 ",,,1950,28,539.08,,,,Edmonton,AB
5235 EDGEMONT Boulevard,ST2,T,"1,110.09",3,2.1,"$399,900 ",,,2023,42,254.38,,,,Edmonton,AB
5812 92 Avenue,BUNG,T,"1,209.66",5,2,"$399,900 ",,,1963,22,557.33,,,,Edmonton,AB
6219 176 Avenue,ST2,T,"1,180.60",3,2.1,"$399,999 ",,,2023,72,248.06,,,,Edmonton,AB
1442 GRANT Way,ST2,X,"1,224.94",3,2.1,"$399,999 ",,,2000,65,,,,,Edmonton,AB
8016 152C Avenue,SPLT4,X,"1,090.07",5,3,"$404,900 ",,,1985,90,509.75,,,,Edmonton,AB
9315 129B Avenue,BUNG,T,"1,055.41",5,2,"$409,700 ",,,1959,92,557.39,,,,Edmonton,AB
12309 173A Avenue,ST2,X,"1,412.24",3,2.1,"$409,900 ",,,2014,123,280.45,,,,Edmonton,AB
1725 CHAPMAN Way,SPLT2,T,"1,542.27",3,2.1,"$411,000 ",,,2012,30,254.61,,,,Edmonton,AB
13003 165 Avenue,ST2,T,"1,425.15",3,2.1,"$413,000 ",,,2013,91,319.1,,,,Edmonton,AB
13537 117 Street,BUNG,X,"1,144.32",5,2,"$415,000 ",,,1963,105,662.39,,,,Edmonton,AB
2083 MAPLE Road,ST2,X,"1,259.28",3,2.1,"$415,900 ",,,2022,258,238.46,,,,Edmonton,AB
7772 174B Avenue,ST2,T,"1,392.97",3,2.1,"$419,900 ",,,2017,28,341.47,,,,Edmonton,AB
10674 63 Avenue,BUNG,T,"1,226.02",5,2,"$419,900 ",,,1950,68,484.01,,,,Edmonton,AB
7616 41 Avenue,ST2,T,"1,900.81",5,3.1,"$424,800 ",,,1974,6,612.78,,,,Edmonton,AB
1720 167 Street,ST2,T,"1,548.19",3,2.1,"$424,900 ",,,2015,9,259.97,,,,Edmonton,AB
5237 EDGEMONT Boulevard,ST2,T,"1,275.53",3,2.1,"$424,900 ",,,2023,41,254.44,,,,Edmonton,AB
7024 130 Avenue NW,BUNG,T,"1,152.18",4,2,"$424,900 ",,,1964,42,600.6,,,,Edmonton,AB
4078 Kinsella Way,ST2,T,"1,486.94",3,2.1,"$424,900 ",,,2023,34,,,,,Edmonton,AB
2003 Tanner Wynd,ST2,T,"1,338.29",3,3.1,"$424,900 ",,,2004,105,,,,,Edmonton,AB
17717 13 Avenue,ST2,T,"1,346.04",3,2.1,"$425,000 ",,,2018,42,261.85,,,,Edmonton,AB
16739 65 Street,ST2,T,"1,453.57",4,3.1,"$425,000 ",,,2018,72,,,,,Edmonton,AB
3010 ARTHURS Crescent SW,ST2,T,"1,420.96",3,2.1,"$426,900 ",,,2014,18,284.95,,,,Edmonton,AB
10611 67 Street,BUNG,T,"1,542.48",4,3,"$429,000 ",,,1956,78,706.06,,,,Edmonton,AB
11725 122 Street,ST2,X,"1,453.68",3,2.1,"$429,000 ",,,1999,93,,,,,Edmonton,AB
2196 BRENNAN Crescent,BUNG,X,"1,351.20",5,3,"$429,900 ",,,2002,98,638.75,,,,Edmonton,AB
5006 KINNEY Link,ST2,X,"1,354.00",3,2.1,"$429,998 ",,,2022,182,,,,,Edmonton,AB
12212 176 Avenue,ST2,X,"1,496.20",3,2.1,"$434,900 ",,,2018,112,278.46,,,,Edmonton,AB
15811 79 Street,SPLT4,T,"1,350.13",4,3,"$439,900 ",,,1987,45,506.93,,,,Edmonton,AB
3745 137A Avenue,ST2,T,"1,556.26",4,3.1,"$439,900 ",,,2005,29,611.39,,,,Edmonton,AB
18011 71 Street,ST2,X,"1,650.01",3,2.1,"$439,998 ",,,2022,182,,,,,Edmonton,AB
17103 121 Street,ST2,X,"1,583.81",4,2.1,"$444,000 ",,,2013,91,312.98,,,,Edmonton,AB
9144 142 Street,BUNG,X,"1,012.35",2,2,"$445,000 ",,,1954,96,,,,,Edmonton,AB
20731 25 Avenue,ST2,T,"1,608.03",3,2.1,"$448,900 ",,,2022,26,,,,,Edmonton,AB
20751 25 Avenue,ST2,T,"1,616.00",3,2.1,"$449,000 ",,,2022,41,,,,,Edmonton,AB
10741 129 Street,ST1.5,X,"1,130.22",3,1,"$449,000 ",,,1948,89,650.47,,,,Edmonton,AB
1485 PLUM Circle,ST2,T,"1,373.49",3,2.1,"$449,900 ",,,2023,108,,,,,Edmonton,AB
9826 66 Avenue,BUNG,X,954.98,3,2,"$450,000 ",,,1957,121,,,,,Edmonton,AB
6022 105A Street,BUNG,T,965.96,3,2,"$450,000 ",,,1964,76,,,,,Edmonton,AB
8927 88 Avenue,ST2,T,"1,384.57",4,3.1,"$455,000 ",,,1992,27,365.62,,,,Edmonton,AB
9828 81 Avenue,BUNG,T,"1,200.19",5,2,"$455,000 ",,,1965,86,,,,,Edmonton,AB
17461 77A Street,ST3,T,"1,822.35",5,3.1,"$459,500 ",,,2018,29,309.48,,,,Edmonton,AB
8012 167 Street,BUNG,X,"1,075.00",5,2.1,"$459,900 ",,,1965,93,571.55,,,,Edmonton,AB
17619 84 Avenue,BUNG,X,"1,026.89",4,2,"$459,900 ",,,1972,93,553.56,,,,Edmonton,AB
5433 CHAPPELLE Road,ST2,T,"1,351.85",4,3.1,"$459,900 ",,,2017,149,302.16,,,,Edmonton,AB
2512 19A Avenue,ST2,T,"1,142.06",3,3.1,"$464,900 ",,,2016,251,269.75,,,,Edmonton,AB
1503 22 Street,ST2,X,"1,582.85",3,2.1,"$464,900 ",,,2017,62,336.61,,,,Edmonton,AB
9854 69 Avenue,ST2,X,"1,240.66",4,2.1,"$464,900 ",,,1963,84,,,,,Edmonton,AB
10412 26 Avenue,BUNG,T,"1,270.15",5,3,"$469,900 ",,,1978,61,520.87,,,,Edmonton,AB
21121 92A Avenue,BLEVL,T,"1,277.69",4,3,"$474,900 ",,,2006,26,376.04,,,,Edmonton,AB
10750 155 Street,ST2,T,"1,703.83",3,2.1,"$474,900 ",,,2013,20,346.86,,,,Edmonton,AB
4508 210 Street,ST2,X,"1,993.71",4,2.1,"$475,000 ",,,2007,134,688.4,,,,Edmonton,AB
9399 223 Street,ST2,X,"1,496.63",3,2.1,"$479,900 ",,,2019,63,445.36,,,,Edmonton,AB
2878 KOSHAL Crescent,ST2,T,"1,596.41",3,3.1,"$479,900 ",,,2017,25,293.38,,,,Edmonton,AB
2019 207 Street,ST2,X,"1,673.91",3,2.1,"$480,990 ",,,2022,84,291.38,,,,Edmonton,AB
12020 125 Street,ST2,T,"1,539.04",3,2.1,"$484,900 ",,,2022,81,348.23,,,,Edmonton,AB
123 CASTLE Drive,ST2,T,"2,008.45",3,2.1,"$487,000 ",,,2004,45,436.18,,,,Edmonton,AB
9623 74 Street,BUNG,X,"1,085.01",4,2,"$494,900 ",,,1959,160,,,,,Edmonton,AB
811 176 Street,ST2,X,"1,759.05",3,2.1,"$495,000 ",,,2022,90,346.61,,,,Edmonton,AB
12467 47 Street,ST2,X,"1,599.85",3,2.1,"$495,000 ",,,2023,63,,,,,Edmonton,AB
15184 25 Street,ST2,T,"1,738.82",3,2.1,"$499,000 ",,,2019,55,308.06,,,,Edmonton,AB
17772 73 Street,ST2,T,"1,744.63",3,2.1,"$499,900 ",,,2022,64,289.88,,,,Edmonton,AB
9339 149 Street,BUNG,T,978.56,3,2,"$499,900 ",,,1954,32,,,,,Edmonton,AB
1106 116 Street,ST2,T,"1,803.72",4,3.1,"$499,900 ",,,1994,83,503.17,,,,Edmonton,AB
1205 WATT Drive,ST2,X,"1,447.97",4,3.1,"$500,000 ",,,2018,97,335.75,,,,Edmonton,AB
1822 104 Street,ST2,T,"3,327.04",5,2.1,"$500,000 ",,,1985,44,647.64,,,,Edmonton,AB
20812 55 Avenue,ST2,X,"1,861.85",4,3.1,"$509,900 ",,,2007,121,,,,,Edmonton,AB
9907 222 Street,ST2,X,"1,700.71",3,2.1,"$514,800 ",,,2023,97,316.36,,,,Edmonton,AB
21863 80 Avenue,ST2,X,"2,001.24",3,2.1,"$519,800 ",,,2013,90,,,,,Edmonton,AB
20604 92 Avenue,ST2,X,"1,971.21",5,3.1,"$519,900 ",,,2007,99,455,,,,Edmonton,AB
17860 9 Avenue,ST2,X,"1,756.68",3,2.1,"$520,000 ",,,2017,98,253.53,,,,Edmonton,AB
1052 105 Street,SPLT4,T,"1,965.72",4,2.1,"$520,000 ",,,1985,64,507.36,,,,Edmonton,AB
5381 SCHONSEE Drive,ST2,T,"1,852.48",3,2.1,"$524,900 ",,,2014,70,405.38,,,,Edmonton,AB
19015 86A Avenue,ST2,X,"1,668.42",5,3.1,"$525,000 ",,,1982,94,425.8,,,,Edmonton,AB
9920 223 Street,ST2,X,"1,908.03",4,2.1,"$525,000 ",,,2023,90,287.48,,,,Edmonton,AB
9916 223 Street,ST2,X,"1,908.03",4,2.1,"$525,000 ",,,2023,90,287.48,,,,Edmonton,AB
8520 71 Avenue,BUNG,X,"1,201.37",4,2,"$525,000 ",,,1955,196,718.38,,,,Edmonton,AB
2095 Maple Rd NW,ST2,T,"1,469.72",4,2.1,"$525,000 ",,,2022,18,,,,,Edmonton,AB
9221 152 Street,ST2,T,"1,675.09",3,2.1,"$529,000 ",,,2015,48,343.91,,,,Edmonton,AB
11012 126 Street,ST2,T,"1,147.98",3,1,"$529,000 ",,,1912,27,345.95,,,,Edmonton,AB
296 GRIESBACH Road,ST2,T,"1,827.73",4,3.1,"$529,900 ",,,2015,21,374.7,,,,Edmonton,AB
231 Cairns Place,BLEVL,X,"1,944.62",5,3,"$529,900 ",,,2002,126,556.08,,,,Edmonton,AB
10457 147 Street,ST2,X,"1,588.98",3,2.1,"$529,900 ",,,2022,93,,,,,Edmonton,AB
10459 147 Street,ST2,X,"1,588.98",3,2.1,"$529,900 ",,,2022,93,,,,,Edmonton,AB
7308 86 Avenue,BUNG,T,"1,420.85",5,2.1,"$529,900 ",,,1962,29,616.7,,,,Edmonton,AB
279 DECHENE Road,ST2,X,"2,289.50",4,3.1,"$534,900 ",,,1986,101,,,,,Edmonton,AB
9456 216 Street,ST2,T,"1,995.65",3,3.1,"$538,000 ",,,2006,41,495.84,,,,Edmonton,AB
9901 160 Street NW,BLEVL,X,"1,671.97",5,3,"$539,000 ",,,2008,66,,,,,Edmonton,AB
17351 7A Avenue,ST2,T,"1,566.16",4,3.1,"$539,900 ",,,2010,27,425.66,,,,Edmonton,AB
8516 147 Street,BUNG,X,"1,095.67",5,2,"$539,900 ",,,1956,120,501.54,,,,Edmonton,AB
17351 7A Avenue,ST2,T,"1,566.16",4,3.1,"$539,900 ",,,2010,6,,,,,Edmonton,AB
2608 ANDERSON Crescent,ST2,X,"1,951.73",3,2.1,"$544,800 ",,,2010,90,412.6,,,,Edmonton,AB
9452 PEAR Crescent,ST2,T,"1,846.03",3,2.1,"$549,000 ",,,2022,123,288.99,,,,Edmonton,AB
6351 GREENAWAY Avenue,ST2,T,"1,769.49",3,2.1,"$549,888 ",,,2022,202,337.82,,,,Edmonton,AB
9813 70 Avenue,ST2,X,"1,404.70",4,3.1,"$549,900 ",,,2022,121,,,,,Edmonton,AB
18236 94 Street,ST2,X,"1,984.99",3,2.1,"$549,900 ",,,2022,87,427.53,,,,Edmonton,AB
7916 43A Avenue,ST2,T,"1,825.57",3,2.1,"$559,900 ",,,1974,32,,,,,Edmonton,AB
2848 41A Avenue,BLEVL,X,"1,850.01",7,3,"$565,000 ",,,2002,152,410,,,,Edmonton,AB
8153 81 Avenue NW,ST2,X,"1,409.01",3,2.1,"$565,000 ",,,2022,133,254,,,,Edmonton,AB
8151 81 Avenue NW,ST2,X,"1,409.01",3,2.1,"$565,000 ",,,2022,133,254.01,,,,Edmonton,AB
3349 KULAY Way,ST2,T,"2,084.99",3,2.1,"$574,900 ",,,2022,120,,,,,Edmonton,AB
12604 43 Street,ST2,X,"1,640.00",3,2.1,"$575,000 ",,,2022,182,436.17,,,,Edmonton,AB
3219 16 Avenue,ST2,X,"2,074.01",3,2.1,"$578,000 ",,,2013,125,399.92,,,,Edmonton,AB
1047 Graham Ct,ST2,T,"1,748.93",4,3.1,"$579,900 ",,,2001,32,,,,,Edmonton,AB
17543 61 Street,ST2,T,"2,217.38",4,3.1,"$585,000 ",,,2015,75,,,,,Edmonton,AB
1631 12 Avenue,ST2,T,"1,890.05",3,2.1,"$589,900 ",,,2022,88,343.07,,,,Edmonton,AB
603 ADAMS Way,ST2,T,"2,386.16",3,2.1,"$589,900 ",,,2008,36,495.76,,,,Edmonton,AB
710 ADAMS Way,ST2,T,"2,184.02",3,2.1,"$595,900 ",,,2011,40,390.01,,,,Edmonton,AB
18232 94 Street,ST2,X,"2,226.00",4,3,"$597,500 ",,,2022,87,337.17,,,,Edmonton,AB
9829 83 Avenue,ST2,X,"1,829.88",5,2.1,"$599,000 ",,,1987,93,404.68,,,,Edmonton,AB
10503 129 Street,ST2,X,"1,319.67",3,1,"$599,000 ",,,1944,127,740,,,,Edmonton,AB
10748 74 Avenue,ST2,X,"1,248.62",4,3.1,"$599,800 ",,,2023,121,,,,,Edmonton,AB
10750 74 Avenue,ST2,X,"1,248.62",4,3.1,"$599,800 ",,,2023,121,,,,,Edmonton,AB
13711 102 Avenue,BUNG,X,"1,402.01",3,3,"$599,800 ",,,1951,151,,,,,Edmonton,AB
1628 14 Avenue,ST2,X,"1,759.70",4,3,"$599,900 ",,,2022,82,,,,,Edmonton,AB
14002 106 Avenue,ST2,T,"1,768.20",5,2.1,"$599,900 ",,,1977,57,641.07,,,,Edmonton,AB
11403 106 Street,ST2,T,"1,792.10",5,3.1,"$599,999 ",,,2021,43,,,,,Edmonton,AB
